County	State	Year	Population
Conecuh County	Alabama	2013	12875
Conecuh County	Alabama	2014	12662
Conecuh County	Alabama	2015	12672
Balance of Conecuh County	Alabama	2010	8386
Balance of Conecuh County	Alabama	2011	8331
Balance of Conecuh County	Alabama	2012	8254
Balance of Conecuh County	Alabama	2013	8180
Balance of Conecuh County	Alabama	2014	8046
Balance of Conecuh County	Alabama	2015	8053
Coosa County	Alabama	2010	11758
Coosa County	Alabama	2011	11348
Coosa County	Alabama	2012	11195
Coosa County	Alabama	2013	11059
Coosa County	Alabama	2014	10807
Coosa County	Alabama	2015	10724
Balance of Coosa County	Alabama	2010	9589
Balance of Coosa County	Alabama	2011	9250
Balance of Coosa County	Alabama	2012	9127
Balance of Coosa County	Alabama	2013	9019
Balance of Coosa County	Alabama	2014	8798
Balance of Coosa County	Alabama	2015	8732
Covington County	Alabama	2010	37796
Covington County	Alabama	2011	38060
Covington County	Alabama	2012	37818
Covington County	Alabama	2013	37830
Covington County	Alabama	2014	37888
Covington County	Alabama	2015	37835
Balance of Covington County	Alabama	2010	16445
Balance of Covington County	Alabama	2011	16558
Balance of Covington County	Alabama	2012	16446
Balance of Covington County	Alabama	2013	16445
Balance of Covington County	Alabama	2014	16462
Balance of Covington County	Alabama	2015	16443
Crenshaw County	Alabama	2010	13853
Crenshaw County	Alabama	2011	13896
Crenshaw County	Alabama	2012	13951
Crenshaw County	Alabama	2013	13932
Crenshaw County	Alabama	2014	13948
Crenshaw County	Alabama	2015	13963
Balance of Crenshaw County	Alabama	2010	9225
Balance of Crenshaw County	Alabama	2011	9254
Balance of Crenshaw County	Alabama	2012	9283
Balance of Crenshaw County	Alabama	2013	9267
Balance of Crenshaw County	Alabama	2014	9274
Balance of Crenshaw County	Alabama	2015	9285
Cullman County	Alabama	2010	80473
Cullman County	Alabama	2011	80469
Cullman County	Alabama	2012	80374
Cullman County	Alabama	2013	80756
Cullman County	Alabama	2014	81221
Cullman County	Alabama	2015	82005
Balance of Cullman County	Alabama	2010	55696
Balance of Cullman County	Alabama	2011	55673
Balance of Cullman County	Alabama	2012	55532
Balance of Cullman County	Alabama	2013	55746
Balance of Cullman County	Alabama	2014	55994
Balance of Cullman County	Alabama	2015	56451
Dale County	Alabama	2010	50358
Dale County	Alabama	2011	50109
Dale County	Alabama	2012	50324
Dale County	Alabama	2013	49833
Dale County	Alabama	2014	49501
Dale County	Alabama	2015	49565
Balance of Dale County	Alabama	2010	19730
Balance of Dale County	Alabama	2011	19532
Balance of Dale County	Alabama	2012	19605
Balance of Dale County	Alabama	2013	19364
Balance of Dale County	Alabama	2014	19233
Balance of Dale County	Alabama	2015	19257
Dallas County	Alabama	2010	43803
Dallas County	Alabama	2011	43178
Dallas County	Alabama	2012	42777
Dallas County	Alabama	2013	42021
Dallas County	Alabama	2014	41662
Dallas County	Alabama	2015	41131
Balance of Dallas County	Alabama	2010	18828
Balance of Dallas County	Alabama	2011	18487
Balance of Dallas County	Alabama	2012	18361
Balance of Dallas County	Alabama	2013	18023
Balance of Dallas County	Alabama	2014	17806
Balance of Dallas County	Alabama	2015	17573
DeKalb County	Alabama	2010	71142
DeKalb County	Alabama	2011	71387
DeKalb County	Alabama	2012	70942
DeKalb County	Alabama	2013	70869
DeKalb County	Alabama	2014	71012
DeKalb County	Alabama	2015	71130
Balance of DeKalb County	Alabama	2010	38312
Balance of DeKalb County	Alabama	2011	38420
Balance of DeKalb County	Alabama	2012	38168
Balance of DeKalb County	Alabama	2013	38115
Balance of DeKalb County	Alabama	2014	38174
Balance of DeKalb County	Alabama	2015	38219
Elmore County	Alabama	2010	79465
Elmore County	Alabama	2011	80012
Elmore County	Alabama	2012	80432
Elmore County	Alabama	2013	80883
Elmore County	Alabama	2014	81022
Elmore County	Alabama	2015	81468
Balance of Elmore County	Alabama	2010	48656
Balance of Elmore County	Alabama	2011	48831
Balance of Elmore County	Alabama	2012	48910
Balance of Elmore County	Alabama	2013	48876
Balance of Elmore County	Alabama	2014	48657
Balance of Elmore County	Alabama	2015	48597
Escambia County	Alabama	2010	38309
Escambia County	Alabama	2011	38213
Escambia County	Alabama	2012	38034
Escambia County	Alabama	2013	37857
Escambia County	Alabama	2014	37784
Escambia County	Alabama	2015	37789
Balance of Escambia County	Alabama	2010	18480
Balance of Escambia County	Alabama	2011	18396
Balance of Escambia County	Alabama	2012	18301
Balance of Escambia County	Alabama	2013	18246
Balance of Escambia County	Alabama	2014	18171
Balance of Escambia County	Alabama	2015	18159
Etowah County	Alabama	2010	104442
Etowah County	Alabama	2011	104236
Etowah County	Alabama	2012	104235
Etowah County	Alabama	2013	103852
Etowah County	Alabama	2014	103452
Etowah County	Alabama	2015	103057
Balance of Etowah County	Alabama	2010	29045
Balance of Etowah County	Alabama	2011	28939
Balance of Etowah County	Alabama	2012	28904
Balance of Etowah County	Alabama	2013	28758
Balance of Etowah County	Alabama	2014	28623
Balance of Etowah County	Alabama	2015	28494
Fayette County	Alabama	2010	17231
Fayette County	Alabama	2011	17062
Fayette County	Alabama	2012	16960
Fayette County	Alabama	2013	16857
Fayette County	Alabama	2014	16842
Fayette County	Alabama	2015	16759
Balance of Fayette County	Alabama	2010	10024
Balance of Fayette County	Alabama	2011	9922
Balance of Fayette County	Alabama	2012	9862
Balance of Fayette County	Alabama	2013	9803
Balance of Fayette County	Alabama	2014	9795
Balance of Fayette County	Alabama	2015	9751
Franklin County	Alabama	2010	31734
Franklin County	Alabama	2011	31729
Franklin County	Alabama	2012	31648
Franklin County	Alabama	2013	31507
Franklin County	Alabama	2014	31592
Franklin County	Alabama	2015	31696
Balance of Franklin County	Alabama	2010	16935
Balance of Franklin County	Alabama	2011	16926
Balance of Franklin County	Alabama	2012	16855
Balance of Franklin County	Alabama	2013	16778
Balance of Franklin County	Alabama	2014	16790
Balance of Franklin County	Alabama	2015	16841
Geneva County	Alabama	2010	26795
Geneva County	Alabama	2011	26832
Geneva County	Alabama	2012	27006
Geneva County	Alabama	2013	26752
Geneva County	Alabama	2014	26707
Geneva County	Alabama	2015	26777
Balance of Geneva County	Alabama	2010	13901
Balance of Geneva County	Alabama	2011	13910
Balance of Geneva County	Alabama	2012	13998
Balance of Geneva County	Alabama	2013	13867
Balance of Geneva County	Alabama	2014	13844
Balance of Geneva County	Alabama	2015	13880
Greene County	Alabama	2010	9001
Greene County	Alabama	2011	8910
Greene County	Alabama	2012	8835
Greene County	Alabama	2013	8706
Greene County	Alabama	2014	8553
Greene County	Alabama	2015	8479
Balance of Greene County	Alabama	2010	4877
Balance of Greene County	Alabama	2011	4825
Balance of Greene County	Alabama	2012	4782
Balance of Greene County	Alabama	2013	4708
Balance of Greene County	Alabama	2014	4623
Balance of Greene County	Alabama	2015	4580
Hale County	Alabama	2010	15735
Hale County	Alabama	2011	15364
Hale County	Alabama	2012	15401
Hale County	Alabama	2013	15316
Hale County	Alabama	2014	15131
Hale County	Alabama	2015	15068
Balance of Hale County	Alabama	2010	10996
Balance of Hale County	Alabama	2011	10715
Balance of Hale County	Alabama	2012	10733
Balance of Hale County	Alabama	2013	10651
Balance of Hale County	Alabama	2014	10503
Balance of Hale County	Alabama	2015	10454
Henry County	Alabama	2010	17292
Henry County	Alabama	2011	17407
Henry County	Alabama	2012	17249
Henry County	Alabama	2013	17206
Henry County	Alabama	2014	17176
Henry County	Alabama	2015	17221
Balance of Henry County	Alabama	2010	9432
Balance of Henry County	Alabama	2011	9444
Balance of Henry County	Alabama	2012	9312
Balance of Henry County	Alabama	2013	9263
Balance of Henry County	Alabama	2014	9229
Balance of Henry County	Alabama	2015	9237
Houston County	Alabama	2010	101783
Houston County	Alabama	2011	102422
Houston County	Alabama	2012	103355
Houston County	Alabama	2013	103610
Houston County	Alabama	2014	104110
Houston County	Alabama	2015	104173
Balance of Houston County	Alabama	2010	22311
Balance of Houston County	Alabama	2011	22334
Balance of Houston County	Alabama	2012	22436
Balance of Houston County	Alabama	2013	22246
Balance of Houston County	Alabama	2014	22183
Balance of Houston County	Alabama	2015	22050
Jackson County	Alabama	2010	53179
Jackson County	Alabama	2011	53264
Jackson County	Alabama	2012	53064
Jackson County	Alabama	2013	52921
Jackson County	Alabama	2014	52631
Jackson County	Alabama	2015	52419
Balance of Jackson County	Alabama	2010	28295
Balance of Jackson County	Alabama	2011	28328
Balance of Jackson County	Alabama	2012	28196
Balance of Jackson County	Alabama	2013	28108
Balance of Jackson County	Alabama	2014	27929
Balance of Jackson County	Alabama	2015	27787
Jefferson County	Alabama	2010	658116
Jefferson County	Alabama	2011	657779
Jefferson County	Alabama	2012	657704
Jefferson County	Alabama	2013	658913
Jefferson County	Alabama	2014	660368
Jefferson County	Alabama	2015	660367
Balance of Jefferson County	Alabama	2010	107753
Balance of Jefferson County	Alabama	2011	107615
Balance of Jefferson County	Alabama	2012	107442
Balance of Jefferson County	Alabama	2013	107324
Balance of Jefferson County	Alabama	2014	107425
Balance of Jefferson County	Alabama	2015	107147
Lamar County	Alabama	2010	14495
Lamar County	Alabama	2011	14292
Lamar County	Alabama	2012	14252
Lamar County	Alabama	2013	14187
Lamar County	Alabama	2014	14050
Lamar County	Alabama	2015	13886
Balance of Lamar County	Alabama	2010	8667
Balance of Lamar County	Alabama	2011	8545
Balance of Lamar County	Alabama	2012	8521
Balance of Lamar County	Alabama	2013	8482
Balance of Lamar County	Alabama	2014	8402
Balance of Lamar County	Alabama	2015	8307
Lauderdale County	Alabama	2010	92747
Lauderdale County	Alabama	2011	92618
Lauderdale County	Alabama	2012	92680
Lauderdale County	Alabama	2013	92729
Lauderdale County	Alabama	2014	93063
Lauderdale County	Alabama	2015	92596
Balance of Lauderdale County	Alabama	2010	49497
Balance of Lauderdale County	Alabama	2011	49322
Balance of Lauderdale County	Alabama	2012	49154
Balance of Lauderdale County	Alabama	2013	48932
Balance of Lauderdale County	Alabama	2014	48961
Balance of Lauderdale County	Alabama	2015	48692
Lawrence County	Alabama	2010	34305
Lawrence County	Alabama	2011	34045
Lawrence County	Alabama	2012	33776
Lawrence County	Alabama	2013	33567
Lawrence County	Alabama	2014	33426
Lawrence County	Alabama	2015	33115
Balance of Lawrence County	Alabama	2010	27946
Balance of Lawrence County	Alabama	2011	27734
Balance of Lawrence County	Alabama	2012	27517
Balance of Lawrence County	Alabama	2013	27347
Balance of Lawrence County	Alabama	2014	27235
Balance of Lawrence County	Alabama	2015	26985
Lee County	Alabama	2010	140782
Lee County	Alabama	2011	144087
Lee County	Alabama	2012	147899
Lee County	Alabama	2013	151506
Lee County	Alabama	2014	154426
Lee County	Alabama	2015	156993
Balance of Lee County	Alabama	2010	51154
Balance of Lee County	Alabama	2011	51970
Balance of Lee County	Alabama	2012	52942
Balance of Lee County	Alabama	2013	53759
Balance of Lee County	Alabama	2014	54353
Balance of Lee County	Alabama	2015	54914
Limestone County	Alabama	2010	83163
Limestone County	Alabama	2011	85557
Limestone County	Alabama	2012	87321
Limestone County	Alabama	2013	88870
Limestone County	Alabama	2014	90612
Limestone County	Alabama	2015	91663
Balance of Limestone County	Alabama	2010	54229
Balance of Limestone County	Alabama	2011	55572
Balance of Limestone County	Alabama	2012	56467
Balance of Limestone County	Alabama	2013	57346
Balance of Limestone County	Alabama	2014	58252
Balance of Limestone County	Alabama	2015	58675
Lowndes County	Alabama	2010	11275
Lowndes County	Alabama	2011	11119
Lowndes County	Alabama	2012	10852
Lowndes County	Alabama	2013	10725
Lowndes County	Alabama	2014	10555
Lowndes County	Alabama	2015	10458
Balance of Lowndes County	Alabama	2010	6609
Balance of Lowndes County	Alabama	2011	6516
Balance of Lowndes County	Alabama	2012	6361
Balance of Lowndes County	Alabama	2013	6287
Balance of Lowndes County	Alabama	2014	6187
Balance of Lowndes County	Alabama	2015	6132
Macon County	Alabama	2010	21545
Macon County	Alabama	2011	21269
Macon County	Alabama	2012	20479
Macon County	Alabama	2013	19852
Macon County	Alabama	2014	19387
Macon County	Alabama	2015	19105
Balance of Macon County	Alabama	2010	10168
Balance of Macon County	Alabama	2011	9988
Balance of Macon County	Alabama	2012	9648
Balance of Macon County	Alabama	2013	9285
Balance of Macon County	Alabama	2014	9095
Balance of Macon County	Alabama	2015	8950
Madison County	Alabama	2010	336138
Madison County	Alabama	2011	339574
Madison County	Alabama	2012	342696
Madison County	Alabama	2013	346720
Madison County	Alabama	2014	350112
Madison County	Alabama	2015	353089
Balance of Madison County	Alabama	2010	111329
Balance of Madison County	Alabama	2011	112801
Balance of Madison County	Alabama	2012	113694
Balance of Madison County	Alabama	2013	114645
Balance of Madison County	Alabama	2014	115394
Balance of Madison County	Alabama	2015	115575
Marengo County	Alabama	2010	20942
Marengo County	Alabama	2011	20708
Marengo County	Alabama	2012	20449
Marengo County	Alabama	2013	20210
Marengo County	Alabama	2014	20136
Marengo County	Alabama	2015	20028
Balance of Marengo County	Alabama	2010	10202
Balance of Marengo County	Alabama	2011	10055
Balance of Marengo County	Alabama	2012	9928
Balance of Marengo County	Alabama	2013	9812
Balance of Marengo County	Alabama	2014	9777
Balance of Marengo County	Alabama	2015	9729
Marion County	Alabama	2010	30800
Marion County	Alabama	2011	30727
Marion County	Alabama	2012	30515
Marion County	Alabama	2013	30278
Marion County	Alabama	2014	30246
Marion County	Alabama	2015	30168
Balance of Marion County	Alabama	2010	13484
Balance of Marion County	Alabama	2011	13444
Balance of Marion County	Alabama	2012	13343
Balance of Marion County	Alabama	2013	13227
Balance of Marion County	Alabama	2014	13209
Balance of Marion County	Alabama	2015	13175
Marshall County	Alabama	2010	93146
Marshall County	Alabama	2011	93906
Marshall County	Alabama	2012	94228
Marshall County	Alabama	2013	94377
Marshall County	Alabama	2014	94356
Marshall County	Alabama	2015	94725
Balance of Marshall County	Alabama	2010	45612
Balance of Marshall County	Alabama	2011	45952
Balance of Marshall County	Alabama	2012	46075
Balance of Marshall County	Alabama	2013	46124
Balance of Marshall County	Alabama	2014	46094
Balance of Marshall County	Alabama	2015	46275
Mobile County	Alabama	2010	413332
Mobile County	Alabama	2011	413062
Mobile County	Alabama	2012	413750
Mobile County	Alabama	2013	414121
Mobile County	Alabama	2014	414926
Mobile County	Alabama	2015	415395
Balance of Mobile County	Alabama	2010	154887
Balance of Mobile County	Alabama	2011	155271
Balance of Mobile County	Alabama	2012	156002
Balance of Mobile County	Alabama	2013	156306
Balance of Mobile County	Alabama	2014	157123
Balance of Mobile County	Alabama	2015	157596
Monroe County	Alabama	2010	22982
Monroe County	Alabama	2011	22776
Monroe County	Alabama	2012	22585
Monroe County	Alabama	2013	22154
Monroe County	Alabama	2014	21897
Monroe County	Alabama	2015	21673
Balance of Monroe County	Alabama	2010	13870
Balance of Monroe County	Alabama	2011	13746
Balance of Monroe County	Alabama	2012	13635
Balance of Monroe County	Alabama	2013	13374
Balance of Monroe County	Alabama	2014	13219
Balance of Monroe County	Alabama	2015	13088
Montgomery County	Alabama	2010	229723
Montgomery County	Alabama	2011	231496
Montgomery County	Alabama	2012	229286
Montgomery County	Alabama	2013	227000
Montgomery County	Alabama	2014	226389
Montgomery County	Alabama	2015	226519
Balance of Montgomery County	Alabama	2010	18361
Balance of Montgomery County	Alabama	2011	18472
Balance of Montgomery County	Alabama	2012	18185
Balance of Montgomery County	Alabama	2013	17859
Balance of Montgomery County	Alabama	2014	17738
Balance of Montgomery County	Alabama	2015	17643
Morgan County	Alabama	2010	119603
Morgan County	Alabama	2011	119945
Morgan County	Alabama	2012	120112
Morgan County	Alabama	2013	119654
Morgan County	Alabama	2014	119656
Morgan County	Alabama	2015	119565
Balance of Morgan County	Alabama	2010	42383
Balance of Morgan County	Alabama	2011	42365
Balance of Morgan County	Alabama	2012	42384
Balance of Morgan County	Alabama	2013	42114
Balance of Morgan County	Alabama	2014	42013
Balance of Morgan County	Alabama	2015	41896
Perry County	Alabama	2010	10540
Perry County	Alabama	2011	10510
Perry County	Alabama	2012	10180
Perry County	Alabama	2013	9993
Perry County	Alabama	2014	9855
Perry County	Alabama	2015	9652
Balance of Perry County	Alabama	2010	4183
Balance of Perry County	Alabama	2011	4162
Balance of Perry County	Alabama	2012	4017
Balance of Perry County	Alabama	2013	3941
Balance of Perry County	Alabama	2014	3874
Balance of Perry County	Alabama	2015	3790
Pickens County	Alabama	2010	19716
Pickens County	Alabama	2011	19359
Pickens County	Alabama	2012	19355
Pickens County	Alabama	2013	19365
Pickens County	Alabama	2014	20339
Pickens County	Alabama	2015	20864
Balance of Pickens County	Alabama	2010	12057
Balance of Pickens County	Alabama	2011	11834
Balance of Pickens County	Alabama	2012	11832
Balance of Pickens County	Alabama	2013	11905
Balance of Pickens County	Alabama	2014	12952
Balance of Pickens County	Alabama	2015	13484
Pike County	Alabama	2010	32957
Pike County	Alabama	2011	32903
Pike County	Alabama	2012	33105
Pike County	Alabama	2013	33630
Pike County	Alabama	2014	33090
Pike County	Alabama	2015	33046
Balance of Pike County	Alabama	2010	12208
Balance of Pike County	Alabama	2011	12167
Balance of Pike County	Alabama	2012	12228
Balance of Pike County	Alabama	2013	11957
Balance of Pike County	Alabama	2014	11816
Balance of Pike County	Alabama	2015	11773
Randolph County	Alabama	2010	22891
Randolph County	Alabama	2011	22802
Randolph County	Alabama	2012	22628
Randolph County	Alabama	2013	22630
Randolph County	Alabama	2014	22486
Randolph County	Alabama	2015	22696
Balance of Randolph County	Alabama	2010	15068
Balance of Randolph County	Alabama	2011	15007
Balance of Randolph County	Alabama	2012	14891
Balance of Randolph County	Alabama	2013	14899
Balance of Randolph County	Alabama	2014	14812
Balance of Randolph County	Alabama	2015	14961
Russell County	Alabama	2010	53297
Russell County	Alabama	2011	54869
Russell County	Alabama	2012	57771
Russell County	Alabama	2013	59497
Russell County	Alabama	2014	59712
Russell County	Alabama	2015	59660
Balance of Russell County	Alabama	2010	23753
Balance of Russell County	Alabama	2011	24219
Balance of Russell County	Alabama	2012	25548
Balance of Russell County	Alabama	2013	26281
Balance of Russell County	Alabama	2014	26342
Balance of Russell County	Alabama	2015	26364
St. Clair County	Alabama	2010	83812
St. Clair County	Alabama	2011	84317
St. Clair County	Alabama	2012	85160
St. Clair County	Alabama	2013	86210
St. Clair County	Alabama	2014	86561
St. Clair County	Alabama	2015	87074
Balance of St. Clair County	Alabama	2010	33705
Balance of St. Clair County	Alabama	2011	33792
Balance of St. Clair County	Alabama	2012	33981
Balance of St. Clair County	Alabama	2013	34295
Balance of St. Clair County	Alabama	2014	34309
Balance of St. Clair County	Alabama	2015	34430
Shelby County	Alabama	2010	196048
Shelby County	Alabama	2011	197985
Shelby County	Alabama	2012	200830
Shelby County	Alabama	2013	203925
Shelby County	Alabama	2014	206199
Shelby County	Alabama	2015	208713
Balance of Shelby County	Alabama	2010	61455
Balance of Shelby County	Alabama	2011	61870
Balance of Shelby County	Alabama	2012	62524
Balance of Shelby County	Alabama	2013	63608
Balance of Shelby County	Alabama	2014	64080
Balance of Shelby County	Alabama	2015	64436
Sumter County	Alabama	2010	13740
Sumter County	Alabama	2011	13508
Sumter County	Alabama	2012	13451
Sumter County	Alabama	2013	13402
Sumter County	Alabama	2014	13243
Sumter County	Alabama	2015	13103
Balance of Sumter County	Alabama	2010	6778
Balance of Sumter County	Alabama	2011	6606
Balance of Sumter County	Alabama	2012	6542
Balance of Sumter County	Alabama	2013	6525
Balance of Sumter County	Alabama	2014	6450
Balance of Sumter County	Alabama	2015	6378
Talladega County	Alabama	2010	82071
Talladega County	Alabama	2011	81821
Talladega County	Alabama	2012	81931
Talladega County	Alabama	2013	81314
Talladega County	Alabama	2014	81258
Talladega County	Alabama	2015	80862
Balance of Talladega County	Alabama	2010	35265
Balance of Talladega County	Alabama	2011	35035
Balance of Talladega County	Alabama	2012	34967
Balance of Talladega County	Alabama	2013	34779
Balance of Talladega County	Alabama	2014	34611
Balance of Talladega County	Alabama	2015	34432
Tallapoosa County	Alabama	2010	41502
Tallapoosa County	Alabama	2011	41453
Tallapoosa County	Alabama	2012	41163
